date,DQN_Prediction,actual_price
2024-05-30,944.8185097046696,912.2540266019507
2024-05-31,890.5491172434771,861.0192355875664
2024-06-03,877.5439852888136,919.6167796055393
2024-06-04,880.8235145677174,847.3826665634833
2024-06-05,872.3747441975835,865.186888223674
2024-06-06,875.4561394986622,860.0472032506541
2024-06-07,854.9435135501498,845.6082196127019
2024-06-11,854.2141293447404,779.3771981470754
2024-06-12,838.2777423701357,871.6991929219587
2024-06-13,854.3165958871683,880.0029023438543
2024-06-14,852.1420014902542,828.5910545834402
2024-06-17,838.8017535484696,843.7873787551224
2024-06-18,828.3966401171083,797.6523179612657
2024-06-19,809.4145331559628,814.5111837809528
2024-06-20,816.0636598845542,788.6970141173416
2024-06-21,806.4604411353479,764.9710901913542
2024-06-24,810.5450646761858,879.126337468603
2024-06-25,896.3479156510065,915.0884943335718
