,time,code,open,high,low,close,volume,amount,open_interest
570,2022/5/16,sse.600050,3.280373832,3.289719626,3.252336449,3.261682243,411968,144040115,
571,2022/5/17,sse.600050,3.252336449,3.280373832,3.252336449,3.280373832,428285,149611213,
572,2022/5/18,sse.600050,3.280373832,3.280373832,3.252336449,3.261682243,511328,178670545,
573,2022/5/19,sse.600050,3.242990654,3.280373832,3.23364486,3.280373832,623776,217466302,
574,2022/5/20,sse.600050,3.280373832,3.308411215,3.271028037,3.308411215,747103,263034421,
575,2022/5/23,sse.600050,3.299065421,3.308411215,3.271028037,3.289719626,680874,239162651,
576,2022/5/24,sse.600050,3.280373832,3.289719626,3.23364486,3.242990654,765017,266482836,
577,2022/5/25,sse.600050,3.23364486,3.261682243,3.224299065,3.252336449,595751,206715004,
578,2022/5/26,sse.600050,3.252336449,3.261682243,3.224299065,3.252336449,680454,236087312,
579,2022/5/27,sse.600050,3.252336449,3.271028037,3.242990654,3.261682243,657953,229323326,
580,2022/5/30,sse.600050,3.252336449,3.271028037,3.242990654,3.252336449,580933,202292118,
581,2022/5/31,sse.600050,3.261682243,3.271028037,3.23364486,3.252336449,860909,299773929,
582,2022/6/1,sse.600050,3.252336449,3.261682243,3.23364486,3.242990654,733955,254978437,
583,2022/6/2,sse.600050,3.23364486,3.252336449,3.224299065,3.242990654,679410,235143562,
584,2022/6/6,sse.600050,3.242990654,3.252336449,3.224299065,3.242990654,973817,337366836,
585,2022/6/7,sse.600050,3.242990654,3.271028037,3.23364486,3.252336449,997375,346990008,
586,2022/6/8,sse.600050,3.252336449,3.261682243,3.23364486,3.252336449,916524,318473861,
587,2022/6/9,sse.600050,3.242990654,3.261682243,3.23364486,3.252336449,1210118,421050816,
588,2022/6/10,sse.600050,3.242990654,3.308411215,3.23364486,3.271028037,2399720,841667385,
589,2022/6/13,sse.600050,3.261682243,3.280373832,3.224299065,3.23364486,1673634,581537458,
590,2022/6/14,sse.600050,3.224299065,3.242990654,3.186915888,3.242990654,1399296,480848416,
591,2022/6/15,sse.600050,3.23364486,3.373831776,3.224299065,3.336448598,2934752,1041197631,
592,2022/6/16,sse.600050,3.336448598,3.355140187,3.280373832,3.289719626,1396682,494944811,
593,2022/6/17,sse.600050,3.280373832,3.299065421,3.242990654,3.299065421,1179963,413503079,
594,2022/6/20,sse.600050,3.289719626,3.299065421,3.252336449,3.261682243,898889,314410034,
595,2022/6/21,sse.600050,3.261682243,3.280373832,3.252336449,3.261682243,632760,221203007,
596,2022/6/22,sse.600050,3.261682243,3.271028037,3.23364486,3.23364486,731302,254100883,
597,2022/6/23,sse.600050,3.23364486,3.261682243,3.23364486,3.252336449,668683,232207267,
598,2022/6/24,sse.600050,3.252336449,3.261682243,3.23364486,3.252336449,680993,236509715,
599,2022/6/27,sse.600050,3.252336449,3.261682243,3.242990654,3.252336449,664262,231216255,
600,2022/6/28,sse.600050,3.252336449,3.271028037,3.242990654,3.261682243,742818,258555799,
601,2022/6/29,sse.600050,3.269707887,3.27915791,3.260257864,3.260257864,795098,275128692,
602,2022/6/30,sse.600050,3.269707887,3.27915791,3.260257864,3.269707887,817600,282951142,
603,2022/7/1,sse.600050,3.27915791,3.27915791,3.260257864,3.27915791,701928,242835417,
604,2022/7/4,sse.600050,3.269707887,3.27915791,3.260257864,3.269707887,579991,200748984,
605,2022/7/5,sse.600050,3.27915791,3.27915791,3.241357819,3.250807841,822538,283536132,
606,2022/7/6,sse.600050,3.250807841,3.250807841,3.222457773,3.241357819,867437,296603497,
607,2022/7/7,sse.600050,3.231907796,3.241357819,3.222457773,3.231907796,478406,163695771,
608,2022/7/8,sse.600050,3.231907796,3.250807841,3.231907796,3.231907796,454456,155812026,
609,2022/7/11,sse.600050,3.241357819,3.260257864,3.231907796,3.241357819,703367,241704097,
610,2022/7/12,sse.600050,3.241357819,3.260257864,3.241357819,3.250807841,588361,202463210,
611,2022/7/13,sse.600050,3.250807841,3.260257864,3.241357819,3.250807841,512617,176492501,
612,2022/7/14,sse.600050,3.250807841,3.260257864,3.231907796,3.231907796,544346,186575150,
